name,location,description,batch,industry,yc_url
JSX Tool,AI-First In-Browser IDE for React Development,FALL 2025,B2B,"ENGINEERING, PRODUCT AND DESIGN",https://www.ycombinator.com/companies/jsx-tool
"Zephyr FusionSan Diego, CA, USA",Powering tomorrow's industrial revolution in space,FALL 2025,INDUSTRIALS,ENERGY,https://www.ycombinator.com/companies/zephyr-fusion
"MayflowerSan Francisco, CA, USA",AI plug-in that automates HR immigration screening and compliance,FALL 2025,GOVERNMENT,Unknown,https://www.ycombinator.com/companies/mayflower
"itemSan Francisco, CA, USA",The AI-Native CRM that works for you,FALL 2025,B2B,SALES,https://www.ycombinator.com/companies/item
"RivetSan Francisco, CA, USA",Visual editor to design in production code,FALL 2025,B2B,"ENGINEERING, PRODUCT AND DESIGN",https://www.ycombinator.com/companies/rivet-design
"OpenrollStockholm, Stockholm County, Sweden",AI-Native Workday,FALL 2025,B2B,Unknown,https://www.ycombinator.com/companies/openroll
Fixpoint,Uber for AI trainers and human-in-the-loop supervisors,FALL 2025,B2B,HUMAN RESOURCES,https://www.ycombinator.com/companies/fixpoint
"BearSan Francisco, CA, USA",Marketing Stack for AI Agents,FALL 2025,B2B,MARKETING,https://www.ycombinator.com/companies/bear
"MossSan Mateo, CA, USA",Real-time semantic search for Conversational AI,FALL 2025,B2B,Unknown,https://www.ycombinator.com/companies/moss
"ZarnaSan Francisco, CA, USA",AI Associates for Private Capital,FALL 2025,B2B,FINANCE AND ACCOUNTING,https://www.ycombinator.com/companies/zarna
"MarkItSan Francisco, CA, USA",AI Agents for Trade Compliance - Saving Companies from Tariffs,FALL 2025,B2B,SUPPLY CHAIN AND LOGISTICS,https://www.ycombinator.com/companies/markit
"DomeNew York, NY, USA","A unified API for prediction markets, like Kalshi and Polymarket",FALL 2025,B2B,INFRASTRUCTURE,https://www.ycombinator.com/companies/dome
Clicks,Computer use agents to automate all back-office work,FALL 2025,B2B,PRODUCTIVITY,https://www.ycombinator.com/companies/clicks
Fastshot,Lovable for mobile apps,FALL 2025,B2B,"ENGINEERING, PRODUCT AND DESIGN",https://www.ycombinator.com/companies/fastshot
"ClaybirdSan Francisco, CA, USA",The full-stack AI ad company,FALL 2025,B2B,MARKETING,https://www.ycombinator.com/companies/claybird
"LunaBillSan Francisco, CA, USA",AI Voice callers for healthcare billing teams,FALL 2025,HEALTHCARE,HEALTHCARE IT,https://www.ycombinator.com/companies/lunabill
Axial Composites Industries,Carbon Fiber Manufacturing at the Speed of Software,FALL 2025,INDUSTRIALS,AVIATION AND SPACE,https://www.ycombinator.com/companies/axial-composites-industries
"VelvetSan Francisco, CA, USA",Data for world models,FALL 2025,B2B,Unknown,https://www.ycombinator.com/companies/velvet
"DiligenceSquaredSan Francisco, CA, USA",AI-powered market due diligence for investment decisions,FALL 2025,B2B,ANALYTICS,https://www.ycombinator.com/companies/diligencesquared-inc
Amera,Automating claims processing workflows for health insurance payers.,FALL 2025,FINTECH,INSURANCE,https://www.ycombinator.com/companies/amera
"Forge RoboticsSan Francisco, CA, USA",A robotics intelligence system for metal fabrication,FALL 2025,INDUSTRIALS,MANUFACTURING AND ROBOTICS,https://www.ycombinator.com/companies/forge-robotics
"Stratus AviationSan Francisco, CA, USA",AI-powered intelligence layer for airports,FALL 2025,INDUSTRIALS,AVIATION AND SPACE,https://www.ycombinator.com/companies/stratus-aviation
"BlumaSan Francisco, CA, USA",The new media distribution company,FALL 2025,B2B,MARKETING,https://www.ycombinator.com/companies/bluma
"LightberrySan Francisco, CA, USA",The social brain for robots.,FALL 2025,INDUSTRIALS,MANUFACTURING AND ROBOTICS,https://www.ycombinator.com/companies/lightberry
The Hog,AI Demand Gen for Companies,FALL 2025,B2B,MARKETING,https://www.ycombinator.com/companies/the-hog
Telemetron,Support and Operations Platform for Hardware Companies,FALL 2025,B2B,Unknown,https://www.ycombinator.com/companies/telemetron-ai
"Boom AISan Francisco, CA, USA",AI growth team for e-commerce brands,FALL 2025,B2B,Unknown,https://www.ycombinator.com/companies/boom-ai
